Product Name ,Product Price,Review
"Mivi DuoPods D4 TWS,Rich Bass,50H Playtime,AI ENC,Low L...",699,3.9
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",799,4
boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,999,4
"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",899,4
boAt Nirvana Ion with 120 Hours Playback & Crystal Bion...,"1,649",4.1
"Boult Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms ...",799,3.9
OPPO Enco Buds 2 with 28 hours Battery life & Deep Nois...,"1,499",4.3
Brolan Truly Wireless in-Ear Blue Earbuds with ANC Blue...,721,3
"realme Buds T110 with AI ENC for calls, upto 38 hours o...","1,299",4.2
"Boult Astra Neo 70Hrs Playtime, 4 Mic ENC, BT 5.4, 40ms...",999,4.1
"HOPPUP Xo6 Gaming Earbuds with 35MS Low Latency, RGB LE...",799,3.9
"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",799,4
OnePlus Nord Buds 2 Earbuds with 25dB Active Noise Canc...,"2,199",4.3
HODOPHILE TF Premium BTH F9 Earbuds/TWs/buds 5.1 Earbud...,639,3.3
"CMF by Nothing Buds 42 dB Active Noise Cancellation, Ul...","1,999",4.2
"realme Buds T300 with 12.4mm Driver, 30dB ANC, 360 Spat...","1,799",4.3
"HOPPUP AirDoze S40 Earbuds with 13MM Drivers, 40H Playt...",599,4
"Boult Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms ...",799,3.9
Brolan Blue Wireless Ear Buds witth multiple features B...,673,3.3
"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",899,4
"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...","1,099",4.1
"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm D...",699,4.1
boAt Airdopes 131 with upto 60 hours and ASAP Charge Bl...,799,4
"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...",899,4.1
"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...",999,4
"boAt Immortal 161 w/ Beast Mode(40ms Low Latency), 40 H...",999,4
HOUSE OF SOUND NEW FALCON EARBUDS Bluetooth Gaming,599,4
"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...",999,4.1
"realme Buds T110 with AI ENC for calls, upto 38 hours o...","1,299",4.2
"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...",899,4.1
"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...",999,4
"boAt Airdopes 181 Pro w/ 100 HRS Playback, 4 Mics ENx T...","1,399",3.9
"boAt Airdopes 161 w/ 50HRS Playback, ENx Tech, 13mm Dri...",999,4
SONY WF-C500 IPX4/20Hrs Battery Life Bluetooth,"4,490",4.1
"Boult Z40 Pro with 100H Battery, Quad Mic ENC, Scratch ...","1,499",4.1
"truke Airbuds Lite with Quad Mic ENC, 48Hrs Battery, Ga...",599,3.9
HOPPUP Predator Xo3 Gaming Earbuds with 35MS Low Latenc...,799,3.9
"truke Buds F1 Ultra with 60 Hours Playtime, Spatial Aud...",799,4
"realme Buds Air 5 with 50dB ANC, 12.4mm Dynamic Bass Dr...","2,499",4.3
"OnePlus Buds 3 TWS, in Ear Earbuds with Sliding Volume ...","5,499",4.5
"Mivi DuoPods D4 TWS,Rich Bass,50H Playtime,AI ENC,Low L...",699,3.9
"Boult Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms ...",799,3.9
"realme Buds T310 with 12.4mm Driver, 46dB ANC, Spatial ...","2,299",4.2
"HOPPUP AirDoze S40 Earbuds with 13MM Drivers, 40H Playt...",599,4
OnePlus Nord Buds 2 True Wireless Earbuds with 25dB Act...,"2,199",4.3
boAt Airdopes 131 with upto 60 hours and ASAP Charge Bl...,799,4
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",799,4
"HOPPUP Xo6 Gaming Earbuds with 35MS Low Latency, RGB LE...",799,3.9
"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",799,4
"boAt Airdopes 161 with ASAP Charge, 40 Hours Playback &...","1,099",4
"Boult Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms ...",799,3.9
"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...","1,099",4.1
"Mivi Commando X7,35ms Low Latency,13mm Bass,50H Playtim...",799,3.9
